ID;MATERIAL;DESCRIÇÃO;LOCAL
607;FNT013;MODULO FONTE LM2596;AB-01
608;FNT014;FONTE ALIMENTACAO BIVOLT 5V 1A;DF-04
609;FNT015;FONTE ALIMENTACAO 12V 5A;I.25 - VENDAS
610;FNT016;MODULO CONVERSOR DC/DC - BOOST - XL6009;BB-02
611;FNT017;CARREGADOR BATERIA LITHINUM 1A COM PROTECAO - TP4056;G.14
612;FNT018;DRIVER ALIMENTACAO POTENCIA 4-7W;G.04
613;FNT021;FONTE ALIMENTACAO BIVOLT 12V 2A P4 POSITIVO INTERNO;AG-05
614;FNT023;FONTE ALIMENTACAO BIVOLT 9V 1A;DG-04
615;FUS001;FUSIVEL DE VIDRO 1A 20MM (20AGF/1,00);BF-02
616;FUS002;PORTA FUSIVEL P PCI 20X5MM;BF-02
617;FUS004;PORTA FUSIVEL TIPO ROSCA P PAINEL PEQUENO (FUS. 20MM);BF-02
618;FUS005;FUSIVEL DE VIDRO 30A 20X5MM FG 205 30A;OBSOL - A3
619;FUS006;FUSIVEL DE VIDRO 20A 20MM (20AGF20,00);BF-02
620;FUS007;FUSIVEL DE VIDRO 3A 20MM (20AGF 3,00);BF-02
621;FUS008;FUSIVEL DE VIDRO 5A 20MM (20AGF 5,00);BF-02
622;FUS011;FUSIVEL DE VIDRO 10A 20MM;BF-02
623;FUS013;FUSIVEL DE VIDRO 20A 32X6,35 MM;BF-02
624;FUS014;FUSIVEL DE VIDRO 10A 32X6,35 MM;BF-02
625;FUS015;FUSIVEL DE VIDRO 15A 32X6,35 MM;OBSOL - A3
626;FUS016;FUSIVEL DE VIDRO 2A 20MM (20AGF 2,00);BF-02
627;FUS017;FUSIVEL DE VIDRO 4A 20MM;BF-02
628;FUS018;PORTA FUSIVEL BF-020 5X20;OBSOL - A4
629;FWCBAT-H-001;CHICOTE HAND GRIP E PEGA REV7;H.15
630;FWCBAT-H-004;CHICOTE HAND GRIP E PEGA MICRO FIT 6 VIAS 2,1 METROS REV2;H.15
631;FWCBAT-H-006;CHICOTE BATIMENTO HAND GRIP / PEGA MICRO FIT 6 VIAS 3 METROS REV1 ;H.15
632;FWCBAT-H-008;CHICOTE BATIMENTO HAND GRIP ADAPTADOR MOLEX 6 VIAS ;H.15
633;FWCBE-C65-002;CHICOTE BICICLETA E ELIPTICO (ALTERNADOR CINAP 6505) REV2;H.13
634;FWCBE-J4-001;CHICOTE ALIMENTACAO CONSOLE VICTORY - CONECTOR J4 REV1;H.13
635;FWCBE-J4-002;CHICOTE ALIMENTACAO PAINEL CONECTOR J4 REV1;H.13
636;FWCBE-P-006;CHICOTE ALIMENTACAO E CONTROLE BICICLETA PAINEL FW225;H.13
637;FWCBE-P-008;CHICOTE ALIMENTACAO E CONTROLE BICICLETA PAINEL FW225 ALOJAMENTO SERIE 2508 5 VIAS REV2;H.30
638;FWCBE-P-009;CHICOTE ALIMENTAÇÃO CONTROLE FW140 E BICICLETA PAINEL FW225 COM EMENDA REV2;H.30
639;FWCBOT-001;CHICOTE BOTOEIRA RIGHETTO REV2;H.03
640;FWCBOT-002;CHICOTE BOTOEIRA FW209 REV1;H.03
641;FWCBOT-004;CHICOTE BOTAO EMERGENCIA REV2;H.03
642;FWCBOT-005;CHICOTE BOTAO EMERGENCIA - EL0082 REV2;H.03
643;FWCBOT-009;CHICOTE BOTAO EMERGENCIA FASTON 4,8 REV2;H.03
644;FWCBOT-010;CHICOTE BOTAO EMERGENCIA MOLEX/FASTON 4,8 REV1;H.03
645;FWCBOT-011;CHICOTE EMERGENCIA PLATAFORMA ESCADA REV2;H.03
646;FWCBOT-014;CHICOTE PONTEIRA COM HAND GRIP FW222 FW500 ESCADA REV3;H.03
647;FWCBOT-015;CHICOTE EXTENSOR BOTOEIRA ESCADA FISIOTERAPIA;H.03
648;FWCBOT-016;CHICOTE BOTAO EMERGENCIA FORQUILHA 4,3;H.03
649;FWCBOT-017;CHICOTE PONTEIRA COM HAND GRIP FW222 FW500 ESTEIRA REV1;H.03
650;FWCBOT-018;CHICOTE BOTAO EMERGENCIA FASTON 4,8;H.03
651;FWCBOT-019;CHICOTE EMERGENCIA DUPLA PLATAFORMA ESCADA REV2;H.03
652;FWCBOT-021;CHICOTE PONTEIRA COM HAND GRIP FW222 FW500 ESCADA 1,32M REV3 ;H.03
653;FWCBOT-022;CHICOTE BOTAO DE EMERGENCIA DUPLO FORQUILHA/FASTON;H.03
654;FWCBOT-024;CHICOTE BOTAO EMERGENCIA MOLEX/FASTON 4,8 3,60 MT COM EMENDA;H.03
655;FWCBOT-026;CHICOTE EMERGENCIA SENSOR ESTEIRA REABILITACAO REV2;H.08
656;FWCBS-001A;CHICOTE BOMBA SILICONE 1 METRO REV5;H.13
657;FWCBS-002;CHICOTE BOMBA SILICONE 2,3 METROS REV1;H.13
658;FWCBS-003;CHICOTE BOMBA SILICONE FW153 E FW140;H.13
659;FWCDV-003;CHICOTE LIGACAO PAINEL GS6761 COM ATUADOR REV2;H.18
660;FWCDV-006;CHICOTE FIM DE CURSO REV4;H.18
661;FWCDV-009;CHICOTE FIM DE CURSO - EL0214 REV1;H.18
662;FWCDV-010;CHICOTE FIM DE CURSO MOLEX 3 VIAS/FASTON REV2;H.18
663;FWCDV-011;CHICOTE EXTENSOR - MOLEX 2 VIAS;H.18
664;FWCDV-012;CHICOTE EXTENSOR - CONECTOR P2 MONO;H.30
665;FWCDV-013;CHICOTE ADAPTADOR FW140 MOTOR INCLINACAO LINAK;H.18
666;FWCDV-014;CHICOTE ADAPTADOR FW140 MOTOR INCLINACAO ENCODER;H.18
667;FWCDV-016;CHICOTE ADAPTADOR FW140 ENCODER E ALIMENTACAO MOTOR LINAK;H.18
668;FWCDV-017;CHICOTE ADAPTADOR ALIMENTACAO E CONTROLE MOTOR DE;H.18
669;FWCDV-018;CHICOTE ALIMENTACAO CONTROLE FW140 E MOTOR DE TRACAO;H.18
670;FWCDV-019;CHICOTE ATERRAMENTO CARCACA CONECTOR FASTON E ANEL 6.3;H.18
671;FWCEE-003;CHICOTE ENTRADA DE ENERGIA;H.23
672;FWCEE-004;CHICOTE ENTRADA ENERGIA COM CHAVE ILUMINADA, FUSIVEL E CHASSI;H.23
673;FWCEE-005;CHICOTE DE ALIMENTACAO CHAVE INVERSOR CFW10 E FONTE REV1;H.23
674;FWCEE-009;CHICOTE FONTE CHAVEADA REV3;H.23
675;FWCEE-011;CHICOTE FONTE FW153 E FW140-005 MOTOR AC REV1;H.28
676;FWCEE-012;CHICOTE DE ALIMENTACAO CHAVE INVERSOR ADW300 E FONTE;H.28
677;FWCEE-015;CHICOTE DE ALIMENTACAO CHAVE INVERSOR CFW300 E FONTE;H.28
678;FWCEE-016;CHICOTE DE ALIMENTACAO CARREGADOR USB E FW153 REV2;H.28
679;FWCEE-017;CHICOTE ADAPTADOR FW140 MOTOR INCLINACAO BRUDDEN MOVEMENT REV1;H.28
680;FWCEE-020;CHICOTE FONTE CHAVEADA 24V;DD-02
681;FWCEE-025;CHICOTE ALIMENTACAO SENSOR EMERGENCIA REABILITACAO;H.28
682;FWCHBE-GER-002;CHICOTE PARA GERADOR 2 POLOS;EXP.01
683;FWCHBE-GER-003;CHICOTE PARA GERADOR 3 POLOS;EXP.01
684;FWCHBE-GER-004;CHICOTE BICICLETA ELIPTICO FREIO GERADOR REV2;H.24
685;FWCHBE-GER-005;CHICOTE BICICLETA/ELIPTICO GERADOR MAGNETICO PARA CONSOLE 2,5M;H.24
686;FWCHBE-GER-006;CHICOTE BICICLETA ELIPTICO FREIO GERADOR GREEN;I.19 - VENDAS
687;FWCHBE-GER-007;CHICOTE BICICLETA ELIPTICO FREIO GERADOR SENSOR MAGNETICO SERIE 2507 REV1;H.24
688;FWCHBE-MAG-001;CHICOTE BICICLETA ELIPTICO FREIO MAGNETICO PARA CONSOLE;I.28
689;FWCHBE-MEC-001;CHICOTE BICICLETA ELIPTICO FREIO MECANICO PARA CONSOLE;G.25
690;FWCHEX-GER-001;CHICOTE EXTENSAO ELIPTICO GERADOR MAGNETICO PARA CONSOLE REV2;H.15
691;FWCINV-001A;CHICOTE INVERSOR CFW10/HERCULES HD300 MOLEX 4 VIAS REV4;H.19
692;FWCINV-003;CHICOTE INCLINACAO INVERSOR ADW01 AGEON REV3;H.19
693;FWCINV-004;CHICOTE INVERSOR CFW10 MOLEX 2 VIAS REV1;H.19
694;FWCINV-006;CHICOTE INVERSOR AGEON/WEG ADW300 MOLEX 6 VIAS REV1;H.19
695;FWCINV-007;CHICOTE INVERSOR AGEON MOLEX 2 VIAS PLACA FW153 REV1;H.19
696;FWCINV-008;CHICOTE INCLINACAO INVERSOR ADW300 MOLEX 4 e 6 VIAS;H.19
697;FWCINV-011;CHICOTE INVERSOR CFW300 MOLEX 5 VIAS REABILITACAO;H.19
698;FWCINV-012;CHICOTE INVERSOR CFW300 MOLEX 2 VIAS;H.19
699;FWCINV-013;CHICOTE INVERSOR CFW300 MOLEX 4 VIAS;H.19
700;FWCLF-A01-001;CHICOTE INVERSOR ADW01AGEON REV5;H.14
701;FWCLF-A01-007;CHICOTE INVERSOR ADW01 MICRO FIT 6 VIAS REV3;H.14
702;FWCLF-A01-010;CHICOTE INVERSOR AGEON MICRO FIT 6 VIAS SEM FONTE REV3;H.14
703;FWCLF-A01-011;CHICOTE INVERSOR AGEON PLACA FW215 MOLEX 4 VIAS REV2;H.14
704;FWCLF-A300-001;CHICOTE INVERSOR ADW300 REV1;H.29
705;FWCLF-A300-002;CHICOTE INVERSOR ADW300 MICRO FIT 6 VIAS SEM FONTE REV3;H.29
706;FWCLF-A300-003;CHICOTE PLACA FW / INVERSOR ADW300 3 METROS SEM EMENDA;H.29
707;FWCLF-A300-004;CHICOTE INVERSOR ADW300 MOVEMENT SERIE 2508 8 VIAS SEM FONTE REV2;H.29
708;FWCLF-C10-014;CHICOTE INVERSOR CFW10 MINI FIT 6 VIAS - EL0112 REV5;H.18
709;FWCLF-C10-015;CHICOTE INVERSOR CFW10/HD300/CFW300 MICRO FIT 6 VIAS REV3;H.18
710;FWCLF-C10-018;CHICOTE INVERSOR CFW10/HERCULES HD300 MICRO FIT 6 VIAS;H.18
711;FWCLF-C10-020;CHICOTE INVERSOR CFW10/HERCULES HD300 MICRO FIT 6 VIAS;H.18
712;FWCLF-C300-001;CHICOTE INVERSOR CFW300 REV3;H.13 / H.29
713;FWCLF-C300-002;CHICOTE INVERSOR CFW300 MICRO FIT 6 VIAS;H.29
714;FWCLF-M02-005;CHICOTE LIGACAO FREQUENCIA E FONTE MICRO FIT 6 VIAS REV1;H.14
715;FWCLF-M03-001;CHICOTE LIGACAO PAINEL E FONTE MOLEX 4 VIAS REV3;H.25
716;FWCLF-M03-002;CHICOTE LIGACAO PAINEL E FONTE MOLEX 4 VIAS MICRO FIT 6 VIAS;H.10
717;FWCLF-M04-001;CHICOTE LIGACAO PAINEL MICRO FIT 6 VIAS REV4;H.20
718;FWCLF-M04-003;CHICOTE LIGACAO PAINEL MICRO FIT 6 VIAS SEM FONTE REV3;H.20
719;FWCLF-M04-005;CHICOTE LIGACAO PAINEL MICRO FIT 6 VIAS FW217 SEM FONTE;H.20 
720;FWCLF-M04-006;CHICOTE LIGACAO PAINEL MICRO FIT 8 VIAS REV5;H.20 / H.13
721;FWCLF-M04-007;CHICOTE LIGACAO PAINEL MICRO FIT 6 VIAS COM SAIDA 12V REV2;H.20
722;FWCLF-M04-008;CHICOTE LIGACAO PAINEL MOVEMENT SERIE 2508 8 VIAS SEM;H.14
723;FWCLF-M04-009;CHICOTE LIGACAO COLUNA MOVEMENT SERIE 2507 8 VIAS REV1;H.10
724;FWCLF-M04-010;CHICOTE LIGACAO PAINEL SERIE 2508 8 VIAS INC. REV1;H.14
725;FWCLFI-C10-004;CHICOTE INVERSOR CFW10 CONECTOR DB15 REV3;G.24
726;FWCLFI-F01-001;CHICOTE LIGACAO PAINEL FONTE FW140 MICRO FIT 6 VIAS REV2;H.04
727;FWCLFI-M01-001A;CHICOTE LIGACAO FREQ E INCLINACAO REV5;H.05
728;FWCLFI-M01-003;CHICOTE LIGACAO FREQ INCLINACAO ENCODER PEDALEIRA;H.04
729;FWCLFI-M01-004;CHICOTE LIGACAO FREQUENCIA E INCLINACAO 2508 8 VIAS REV1;H.04
730;FWCLFI-M01-005;CHICOTE LIGACAO FREQUENCIA INCLINACAO ENCODER;H.04
731;FWCLFI-M02-001;CHICOTE LIGACAO PAINEL E FONTE INCLINACAO - EL0098 REV1;I.22
732;FWCLFI-M04-001;CHICOTE LIGACAO FREQ E INCLINACAO MICRO FIT 6 VIAS REV2;H.04
733;FWCLT-001;CHICOTE PARA TECLADO FW145 E FW159 CONECTOR 3 E 5 VIAS REV1;DD-02
734;FWCLT-006;CHICOTE PARA FWI135-005 REV5;DD-02
735;FWCLT-007-D;CHICOTE PARA PONTEIRA CXP077 VELOCIDADE REV3;T.02
736;FWCLT-007-E;CHICOTE PARA PONTEIRA CXP083 INCLINACAO REV3;T.02
737;FWCLT-012;CHICOTE PARA TECLADO FW159 CONECTOR 9 VIAS;DD-02
738;FWCLT-016;CHICOTE PARA TECLADO FW159 CONECTOR 3 E 5 VIAS;H.25
739;FWCLT-017;CHICOTE LIGACAO CONECTOR MIKE 5 VIAS E MOLEX 5 VIAS REABILITACAO REV2;H.25
740;FWCLT-018;CHICOTE PARA PEDALEIRA CONECTOR MIKE 5 VIAS REABILITACAO REV2;H.30
741;FWCLT-019;CHICOTE LIGACAO CONECTOR MIKE 3 VIAS E MOLEX 3 VIAS REABILITACAO REV3;H.25
742;FWCLT-020;CHICOTE LIGACAO PLACA FWU501 E FWP305;H.25
743;FWCLT-024;CHICOTE LIGAÇÃO FW401 E CONTATORA WEG CW0710E;H.25
744;FWCLT-025;CHICOTE LIGAÇÃO FW401 E FONTE CHAVEADA;H.05
745;FWCLT-028;CHICOTE PARA TECLADO FW162 CONECTOR 6 VIAS;I.06
746;FWCLT-030;CHICOTE PARA TECLADO FW156 CONECTOR 9 VIAS;DD-02
747;FWCM140-001;CONJUNTO MONTADO MOVEMENT FW140 FONTE 12V INTERNO MOTOR AC - INCLINAÇÃO;G.21
748;FWCM159-001;CONJUNTO MONTADO ASTRO FITNESS FW159 TECLADO 14 TECLAS - MEC107;G.12
749;FWCM200-HVM-001;CONJUNTO MONTADO MOVEMENT FW200 DISPLAY VERMELHO COM TECLAS - SEM ADESIVO - MEC097;G.21
750;FWCM203-HVM-001;CONJUNTO MONTADO MOVEMENT FW203 DISPLAY VERMELHO E TECLADO MECANICO FW156 SEM ADESIVO - MEC085;G.06
751;FWCM203-HVM-002;CONJUNTO MONTADO MOVEMENT FW203 DISPLAY VERMELHO E TECLADO MECANICO FW156 SEM ADESIVO - MEC088;G.07
752;FWCM203-HVMI-001;CONJUNTO MONTADO MOVEMENT FW203 DISPLAY VERMELHO INCLINACAO E TECLADO MECANICO FW156 - MEC085;G.16
753;FWCM203-HVMI-002;CONJUNTO MONTADO FW203 DISPLAY VERMELHO INCLINACAO E TECLADO MECANICO FW162;G.06 / G.11
754;FWCM222-HAZ-002;CONJUNTO MONTADO FW222 DISPLAY AZUL SEM TECLADO CHAPA CHP028;G.02
755;FWCM222-HAZI-001;CONJUNTO MONTADO FW222 DISPLAY AZUL COM INCLINACAO E TECLADO MECANICO FW162;G.07
756;FWCM500-HRS-001;CONJUNTO MONTADO FW500 TOUCH SEM CHAPA FRONTAL;G.26
757;FWCO223-XCZ-001;CONSOLE FW223 CONTADOR MUSCULACAO;H.12
758;FWCO300-HCZ-001;CONSOLE FW300 PARA SPINNING GABINETE PLASTICO PRETO SENSOR IMÃ;G.01
759;FWCO301-HCZ-001;CONSOLE FW301 PARA SPINNING GABINETE PLASTICO CINZA SENSOR IMÃ;G.19
760;FWCO320-HCZ-001;CONSOLE FW320 HAND GRIP CINZA GABINETE PLASTICO MECANICO;T.03 / G.12 / G.17 / G.22
761;FWCO341-HAZ-001;CONSOLE FW341 HAND GRIP AZUL GABINETE PLASTICO MAGNETICO;G.26
762;FWCO342-HAZ-001;CONSOLE FW342 HAND GRIP AZUL GABINETE PLASTICO MAGNETICO;T.03
763;FWCO342-HAZ-001 (BRANCO);CONSOLE FW342 HAND GRIP AZUL GABINETE PLASTICO MAGNETICO;PRODUÇÃO
764;FWCO344-HCZ-001;CONSOLE FW344 HAND GRIP CINZA GABINETE PLASTICO MAGNETICO;I.24
765;FWCO345-HCZ-001;CONSOLE FW345 HAND GRIP CINZA GABINETE PLASTICO MAGNETICO BLUETOOTH;G.26
766;FWCO350-HCZ-001;CONSOLE FW350 HAND GRIP CINZA GAB PLASTICO GERADOR GREEN;G.24
767;FWCO361-HAZ-001;CONSOLE FW361 HAND GRIP AZUL GABINETE PLASTICO GERADOR;EXP.03
768;FWCO400-HAD-001;CONSOLE FW400 HAND GRIP DISPLAY TOUCH LCD COLORIDO;T.03
769;FWDV136-002;RESISTENCIA BICICLETA E ELIPTICO;OBSOL - A6
770;FWDVCH-001;CHAVE DE SEGURANÇA;G.03
771;FWDVCH-004;BOTAO EMERGENCIA N/A COGUMELO VERMELHO;H.10
772;FWDVCH-006-D;PONTEIRA COM HAND GRIP 2 TECLAS DIREITO;T.02
773;FWDVCH-006-E;PONTEIRA COM HAND GRIP 2 TECLAS ESQUERDO;T.02
774;FWDVCH-007;BOTAO EMERGENCIA N/A RETANGULAR VERMELHO;I.18
775;FWDVCH-009;CHAVE SEGURANCA MECANICA;I.20 - VENDAS
776;FWDVCH-010;PONTEIRA COM HAND GRIP EMBORACHADA 1 TECLA;I.20 - VENDAS
777;FWDVCH-011-D;PLACA 2 TECLAS PARA PONTEIRA DIREITA;G.08
778;FWDVCH-011-E;PLACA 2 TECLAS PARA PONTEIRA ESQUERDA;G.08
779;FWDVCP-001;MEC054 - CHAPA PLASTICA TECLADO WEGA;I.19 - VENDAS
780;FWDVCP-002;MEC053  - CHAPA PLASTICA FW219 6 JANELAS GRAFICO WEGA;I.19 - VENDAS
781;FWDVCP-003;MEC061 - CHAPA PLASTICA FW200 5 JANELAS ROTOMOLDADO HIPER;I.19 - VENDAS
782;FWDVCP-004;MEC062 - CHAPA PLASTICA TECLADO FW160 20 TECLAS;I.19 - VENDAS
783;FWDVCP-005;MEC059 - CHAPA PLASTICA FW209 7 JANELAS GRAFICO ESTEIRA RIG;I.19 - VENDAS
784;FWDVCP-006;MEC060 - CHAPA PLASTICA FW209 7 JANELAS GRAFICO BIKE/EL RIG;I.23
785;FWDVCP-007;MEC063 -CHAPA PLASTICA FW203 6 JANELAS SIRIUS;I.19 - VENDAS
786;FWDVCP-008;MEC064 - CHAPA PLASTICA TECLADO SIRIUS;AB-02
787;FWDVCP-009;MEC077 - CHAPA PLASTICA FIXACAO FW500 PARA DISPLAY TOUCH 9.7POL REV2;I.23
788;FWDVCP-010;MEC082 - CHAPA PLASTICA FIXACAO DISPLAY TOUCH 9.7POL ESTEIRA WEGA;I.19 - VENDAS
789;FWDVCP-011;MEC083 - CHAPA PLASTICA FIXACAO FW222 E FW162 7 JANELAS;I.19 - VENDAS
790;FWDVCP-016;MEC078 - CHAPA PLÁSTICA FIXAÇÃO FIXAÇÃO DISPLAY TOUCH 9.7 POL;I.23
791;FWDVCP-017;MEC090 - CHAPA PLASTICA FIXACAO DISPLAY TOUCH PROCULUS 9.7 POL. ASTRO;I.19 - VENDAS
792;FWDVCP-019;CHAPA PLASTICA FIXACAO FW200 5 JANELAS 355 X 248,5 X 3 ASTRO - MEC092;I.19 - VENDAS
793;FWDVCP-022;MEC096 - CHAPA PLASTICA FIXACAO FW159 14 TECLAS BOTÃO EMERG. - BODY;I.23
794;FWDVCP-025;MEC100 - CHAPA PLASTICA FIXACAO FW200 5 JANELAS - BODY - ROTOMOLDADO GRANDE;I.23
795;FWDVCX-001-D;PONTEIRA PLASTICA DIREITA;G.08
796;FWDVCX-001-E;PONTEIRA PLASTICA ESQUERDA;G.08
797;FWDVCX-002-D;SUPORTE PLASTICO INTERNO DA PONTEIRA DIREITA;G.08
798;FWDVCX-002-E;SUPORTE PLASTICO INTERNO DA PONTEIRA ESQUERDA;G.08
799;FWDVDCO-001;DISPOSITIVO DE CONTROLE ENCODER INCREMENTAL DIGITAL;I.03
800;FWDVIM-001;IMA REDONDO DIAM. 17 MM/ESP. 8 MM;G.25
801;FWDVIM-002;IMA REDONDO NEODIMIO DIAM. 10 MM/ESP. 3 MM;G.25
802;FWDVPH-001;PEGA HAND GRIP 92MM;T.01
803;FWDVPH-002;PEGA HAND GRIP 98MM;I.02
804;FWDVPH-003;PEGA HAND GRIP 116MM;I.07
805;FWDVPH-004;PEGA HAND GRIP EMBORACHADA DIAM 36 MM COMP 200 MM;I.07
806;FWDVPH-005;CHAPA PARA PONTEIRA PEGA;G.13
807;FWDVPIB-002;SUPORTE 2 PILHAS 18650 COM RABICHO MOLEX 3 VIAS;I.07
808;FWDVPOL-004;MODULO BATIMENTO HAND GRIP E POLAR;G.09
809;FWDVSE-002;SENSOR DE ORELHA PARA BATIMENTO CARDIACO;H.09
810;FWDVSE-003;SENSOR MAGNETICO COM SUPORTE;H.09
811;FWDVSE-004;SENSOR MAGNÉTICO PARA MONITOR MUSCULAÇÃO ALTO/BAIXO;H.09
812;FWDVSE-005;SENSOR MAGNÉTICO 1 REED INDIVIDUAL 1,5 METROS;H.09
813;FWDVSE-006;SENSOR MAGNETICO PARA MONITOR MUSCULACAO ALTO/BAIXO SUPORTE DE PILHA MICRO FIT 6 VIAS;H.09
814;FWDVSE-007;SENSOR MAGNÉTICO 1 REED INDIVIDUAL 1,5 METROS ALOJAMENTO SERIE 2508;H.09
815;FWDVSE-011;SENSOR MAGNÉTICO PARA MONITOR MUSCULAÇÃO ALTO/MEIO/BAIXO;H.09
816;FWDVSE-012;SENSOR MAGNETICO PARA MONITOR MUSCULACAO ALTO/BAIXO 1 METRO PRETO;H.09
817;FWDVSUP-001;SUPORTE CELULAR;I.04 / I.09 / I.14
818;FWF122-003;PLACA FW122 COM 3 CONECTORES;I.07
819;FWF140-005;PLACA FW140 MOTOR AC DE INCLINACAO;I.23
820;FWF140-006;FONTE FW140 SEM INCLINAÇÃO E SAÍDA RELE AUXILIAR;I.23
821;FWF140-007;PLACA FW140 MOTOR DC BOMBA SILICONE 12V INTERNO;I.08
822;FWF153-003;PLACA FW153 FONTE 12V PAINEL;I.27
823;FWF153-005;PLACA FW153 FONTE 5V ACIONAMENTO VELOCIDADE;PRODUCÃO
824;FWF153-007;PLACA FW153 FONTE 12V PAINEL SEM CAIXA;I.02
825;FWF157-002;PLACA FW157 PARA FONTE CHAVEADA;I.07
826;FWF180-001;PLACA FW180 FONTE 6 SAIDAS USB 5V;I.02
827;FWFCHV-004;FONTE 24V PARA INCLINACAO CHICOTE 35CM;I.22
828;FWFO153-001;FONTE FW153 ENTRADA BIVOLT SAIDA 12V 1A UNIFICADA;I.13
829;FWFOBIV-12V1A-001;FONTE 12 VOLTS 1A P4 POSITIVO CENTRAL;I.12
830;FWFOBIV-5V1A-001;FONTE BIVOLT 5V 1A CONECTOR MINI FIT JR;I.08
831;FWFOBIV-6V1A-001;FONTE BIVOLT 6V 1A PLUG P4 POSITIVO CENTRAL ( FNT022);I.12
832;FWFOBIV-9V1A-001;FONTE BIVOLT 9V 1A PLUG P4 POSITIVO CENTRAL;I.17
833;FWFOGER-201B;PLACA FONTE PARA FREIO GERADOR 201B;G.05 / G.10 / G.15 / G.20
834;FWFOGER-20431;PLACA FONTE PARA FREIO GERADOR 20431;G.05
835;FWFOGER-GREEN;PLACA FONTE PARA FREIO GERADOR GREEN;G.05
836;FWFOUSB-5V2A-001;FONTE CARREGADOR PARA EMBUTIR ENTRADA 12V SAIDA USB DUPLA 5V 1A /2.1A;I.03
837;FWFRGER-BI242;FREIO GERADOR 242 MM BI-DIRECIONAL PARA ELIPTICO;EXP.02
838;FWFRGER-UNI242;FREIO GERADOR 242 MM UNI-DIRECIONAL PARA BICICLETA;EXP.01
839;FWFRGREEN-250;FREIO GREEN 250 MM PARA BICICLETA ELIPTICO;EXP.03
840;FWFRMAG-250;FREIO MAGNETICO 250 MM PARA BICICLETA ELIPTICO;EXP.02
841;FWFRMAG-327;FREIO MAGNETICO 327 MM PARA BICICLETA ELIPTICO;EXP.02 - VENDAS
842;FWFTRA-005;TRANSFORMADOR 9V COM CONECTOR MINI FIT / ALOJAMENTO 2507 2 VIAS;I.23
843;FWI110-001;PLACA FW110;G.24
844;FWI135-001;PLACA FW135-1 WEGA R9;G.16
845;FWI135-002;PLACA FW135-2 WEGA I9;G.16
